"Manufacturer";"Varient";"Details";"India_Locations";"Model";"Distance_Travelled";"Fuel_Type";"Engine_Capacity";"Transmission";"Price_INR"
"Suzuki";"Ravi";"Euro II ";"Jaipur";"2021";"79000";"Petrol";"800";"Manual";"1650000"
"Toyota";"Corolla";"GLi 1.3 VVTi ";"Jaipur";"2015";"123456";"Petrol";"1300";"Manual";"3200000"
"Suzuki";"Alto";"ECO-S ";"Jaipur";"2014";"138221";"Petrol";"660";"Automatic";"2200000"
"Suzuki";"Cultus";"VXRi (CNG) ";"Jaipur";"2011";"70000";"Petrol";"1000";"Manual";"1330000"
"Honda";"Civic";"VTi Oriel Prosmatec 1.8 i-VTEC ";"Jaipur";"2010";"158000";"Petrol";"1800";"Automatic";"2200000"
"Toyota";"Corolla";"Altis Automatic 1.6 ";"Jaipur";"2019";"43000";"Petrol";"1600";"Automatic";"5500000"
"Toyota";"Corolla Axio";"X 1.5 ";"Jaipur";"2007";"155000";"Petrol";"1500";"Automatic";"3200000"
"KIA";"Sportage";"FWD ";"Jaipur";"2021";"59000";"Petrol";"2000";"Automatic";"7550000"
"Mercedes";"Benz C Class";"C180 ";"Jaipur";"2009";"110000";"Petrol";"1800";"Manual";"5800000"
"Toyota";"Corolla";"SE Limited ";"Jaipur";"1994";"100000";"Petrol";"1500";"Automatic";"1550000"
"Toyota";"Passo";"X F Package ";"Jaipur";"2007";"89638";"Petrol";"1000";"Automatic";"1750000"
"Toyota";"Vitz";"F 1.0 ";"Jaipur";"2006";"25840";"Petrol";"1000";"Automatic";"1865000"
"Daihatsu";"Rocky";"G ";"Jaipur";"1997";"68000";"Diesel";"2800";"Manual";"1990000"
"Suzuki";"Alto";"VXR ";"Jaipur";"2020";"62000";"Petrol";"660";"Manual";"2430000"
